Date,Bern-Mittelland,Biel/Bienne,Emmental,Interlaken-Oberhasli,Jura bernois,Oberaargau,Obersimmental-Saanen,Seeland,Thun,Frutigen-Niedersimmental,Total
2020-05-03,32,10,1,2,25,7,2,2,1,0,82
2020-05-04,32,10,1,2,25,7,2,2,1,0,82
2020-05-05,32,10,1,2,25,7,2,2,1,0,82
2020-05-06,32,10,1,2,25,7,2,2,1,0,82
2020-05-07,32,10,1,2,25,7,2,2,1,0,82
2020-05-08,32,10,1,2,25,7,2,2,1,0,82
2020-05-09,32,10,1,2,25,7,2,2,1,0,82
2020-05-10,32,10,1,2,25,8,2,2,1,0,83
2020-05-11,32,10,1,2,25,8,2,2,1,0,83
2020-05-12,32,10,1,2,25,8,2,2,1,0,83
2020-05-13,32,10,1,2,25,8,2,2,1,0,83
2020-05-14,32,10,1,2,25,8,2,2,1,0,83
2020-05-15,32,10,1,2,25,8,2,2,1,0,83
2020-05-16,32,10,1,2,25,8,2,2,1,0,83
2020-05-17,32,10,1,2,25,8,2,2,1,0,83
2020-05-18,32,10,1,2,25,8,2,2,1,0,83
2020-05-19,33,10,1,2,25,8,2,2,1,0,84
2020-05-20,33,10,1,2,25,8,2,2,1,0,84
2020-05-21,33,10,1,2,25,8,2,2,1,0,84
2020-05-22,33,10,1,2,25,8,2,2,1,0,84
2020-05-23,33,10,1,2,25,8,2,2,1,0,84
2020-05-24,33,10,1,2,25,8,2,2,1,0,84
2020-05-25,33,10,1,2,25,8,2,2,1,0,84
2020-05-26,34,10,1,2,25,8,2,2,1,0,85
2020-05-27,34,10,1,2,25,8,2,2,1,0,85
2020-05-28,34,10,1,2,25,8,2,2,1,0,85
2020-05-29,34,10,1,2,25,8,2,2,1,0,85
2020-05-30,34,10,1,2,25,8,2,2,1,0,85
2020-05-31,34,10,1,2,25,8,2,2,1,0,85
2020-06-01,34,10,1,2,25,8,2,2,1,0,85
2020-06-02,34,10,1,2,25,8,2,2,1,0,85
2020-06-03,34,10,1,2,25,8,2,2,1,0,85
2020-06-04,34,10,1,2,25,8,2,2,1,0,85
2020-06-05,34,10,1,2,25,8,2,2,1,0,85
2020-06-06,34,10,1,2,25,8,2,2,1,0,85
2020-06-07,34,10,1,2,25,8,2,2,1,0,85
2020-06-08,34,10,1,2,25,8,2,2,1,0,85
2020-06-09,34,10,1,2,25,8,2,2,1,0,85
2020-06-10,34,10,1,2,25,8,2,2,1,0,85
2020-06-11,34,10,1,2,25,8,2,2,1,0,85
2020-06-12,34,10,1,2,25,8,2,2,1,0,85
2020-06-13,34,10,1,2,25,8,2,2,1,0,85
2020-06-14,34,10,1,2,25,8,2,2,1,0,85
2020-06-15,34,10,1,2,25,8,2,2,1,0,85
2020-06-16,34,10,1,2,25,8,2,2,1,0,85
2020-06-17,34,10,1,2,25,8,2,2,1,0,85
2020-06-18,34,10,1,2,25,8,2,2,1,0,85
2020-06-19,34,10,1,2,25,8,2,2,1,0,85
2020-06-20,34,10,1,2,25,8,2,2,1,0,85
2020-06-21,34,10,1,2,25,8,2,2,1,0,85
2020-06-22,34,10,1,2,25,8,2,2,1,0,85
2020-06-23,34,10,1,2,25,8,2,2,1,0,85
2020-06-24,34,10,1,2,25,8,2,2,1,0,85
2020-06-25,34,10,1,2,25,8,2,2,1,0,85
2020-06-26,34,10,1,2,25,8,2,2,1,0,85
2020-06-27,34,10,1,2,25,8,2,2,1,0,85
2020-06-28,34,10,1,2,25,8,2,2,1,0,85
2020-06-29,34,10,1,2,25,8,2,2,1,0,85
2020-06-30,34,10,1,2,25,8,2,2,1,0,85
2020-07-01,34,10,1,2,25,8,2,2,1,0,85
